Question category,Question as answered by child,Answer scale,"Reference, comments (in red) and possible conditions (in blue) in the question"
Sleep,When do you usually go to sleep in the evenings (you switch off the light) on a school night? ,Around:,"Questions f53-f56: “Hälsoverkstaden”, a Finnish school study, WHO HBSC (Health Behaviour in School-aged Children) study, the questionnaire for 13 and 15 year-olds, and LifeGene, a Swedish study; small modifications in the wording. "
,,7.30 pm or earlier,The answer alternatives are based on the results in “Hälsoverkstaden”.
,When do you usually fall asleep in the evenings on a school night? ,8.00 pm,"Change in question on 9.8.2013, the answer alternatives remained the same. Eva Roos' update in question. "
,,8.30 pm,
,,9.00 pm,NB: The sleep variable (hours of sleep on a school night) will be created differently for different time periods:
,,9.30 pm,"2011 - spring 2013: ""When do you usually go to sleep in the evenings (you switch off the light) on a school night? "" + ""When do you usually wake up on school days?"""
,,10.00 pm,"9.8.2013 onwards: ""When do you usually fall asleep in the evenings on a school night? "" + ""When do you usually wake up on school days?"""
,,10.30 pm,
,,11.00 pm,
,,11.30 pm,
,,Midnight,
,,00.30 am,
,,01.00 am or later,
,,,
,When do you usually wake up on school days?,Around:,
,,5.30 am or earlier,
,,6.00 am,
,,6.30 am,
,,7.00 am,
,,7.30 am,
,,8.00 am,
,,8.30 am or later,
,,,
,,,
,When do you usually go to sleep in the evenings (you switch off the light) before a day off? ,Around:,
,,8.30 pm or earlier,
,When do you usually fall asleep in the evenings before a day off? ,9.00 pm,"Change in question on 9.8.2013, the answer alternatives remained the same. Eva's update in question. "
,,9.30 pm,
,,10.00 pm,NB: The sleep variable (hours of sleep before a day off) will be created differently for different time periods:
,,10.30 pm,"2011 - spring 2013: ""When do you usually go to sleep in the evenings (you switch off the light) before a day off? "" + ""When do you usually wake up on a day off?"""
,,11.00 pm,"9.8.2013 onwards: ""When do you usually fall asleep in the evenings before a day off? "" + ""When do you usually wake up on a day off?"""
,,11.30 pm,
,,Midnight,
,,00.30 am,
,,01.00 am,
,,01.30 am,
,,02.00 am,
,,02.30 am,
,,03.00 am or later,
,,,
,When do you usually wake up on a day off? ,Around:,
,,6.30 am or earlier,
,,7.00 am,
,,7.30 am,
,,8.00 am,
,,8.30 am,
,,9.00 am,
,,9.30 am,
,,10.00 am,
,,10.30 am,
,,11.00 am,
,,11.30 am,
,,Noon,
,,00.30 pm,
,,01.00 pm or later,
,,,
,How long does it usually take you to fall asleep after you have switched off the light?,5 minutes or less,"LifeGene, a Swedish study"
,,6–15 minutes,
,,16–30 minutes,
,,31–60 minutes,
,,Over 60 minutes,
,,,
,How quickly do you normally fall asleep after you have gone to bed? ,10 minutes or quicker,"WHO HBSC (Health Behaviour in School-aged Children) study, the questionnaire for 13 and 15-year-olds"
,,11-20 minutes,
,,21-30 minutes,
,,31-40 minutes,
,,Generally it takes more than 40 minutes to fall asleep,
,,,
,Do you think you have sleeping problems?,Yes,"“Hälsoverkstaden”, a Finnish school study"
,,No,
,Do you feel tired...,,
,1 when you wake up in the morning?,Most days,"“Hälsoverkstaden”, a Finnish school study"
,2 during the day?,Sometimes,
,,Rarely or never,
