Question category,Question,Values,"Comments (pop-up questions, open questions etc.)",Reference
,Porkkana tai lanttu sellaisenaan tai keitettynä 1 kpl 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Kesäkurpitsa 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Kukka- tai parsakaali 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Sekavihannekset 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Herneet tai pavut 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Soijapapu tai tofutuote 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Etikkasäilötyt kasvikset 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Kaaliruoat 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Kasviskeitot lautasellinen,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Kasvispihvit, -laatikot, padat tai kasvisohukaiset 1 annos",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Sienet tai sieniruoat 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Muu kasvis ,text; 0 = did not reply to this question,Open question,
,Muun kasviksen annoskoko ,text; 0 = did not reply to this question,Pop up question (open question) for those who answer the previous question,
,Muun kasviksen käyttötiheys ,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä; 0 = did not reply to this question,Pop up question for those who answer the question before previous,
,Keitetty peruna tai uuniperuna 2 kpl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Perunasose tai perunasoselaatikko 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Paistetut tai ranskalaiset perunat 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Kermaiset perunalaatikot 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Keitetty riisi tai risotto 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Pasta, makaronilaatikko tai lasagne 1 annos",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Jauheliharuoat 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Palaliha/suikalelihakastike 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Naudanlihapihvi tai paisti 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Porsaankyljys tai -leike 1 kpl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Pekoni tai siankylki 2 viipaletta,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Maksa- tai veriruoat 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Lampaanliha 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Poro tai riista 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Makkararuoat lenkki tai nakit 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Hernekeitto lautasellinen,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Liha- tai makkarakeitto lautasellinen,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Pizza 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Hampurilainen 1 kpl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Ketsuppi 2 rkl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Sinappi 2 rkl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Leikkelemakkarat 2 viipaletta,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Kokolihaleikkeleet 1 viipale,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Maksamakkara tai -pasteija 1 cm pala,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Muu liharuoka ,text; 0 = did not reply to this question,Open question,
,Muun liharuoan annoskoko ,text; 0 = did not reply to this question,Pop up question (open question) for those who answer the previous question,
,Muun liharuoan käyttötiheys ,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä; 0 = did not reply to this question,Pop up question for those who answer the question before previous,
,Kalakeitto lautasellinen,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Pakastekala tai kalapuikot 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Lohi- tai kirjolohiruoat 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Silakkaruoat 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Kuha, siika, ahven, muikku tai hauki 1 annos",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Savustettu kala (esim. siika lohi tai kirjolohi) 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Mauste- tai suolakala 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Tonnikala tai muu säilykekala 1 2 dl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Katkarapu tai äyriäiset 1 dl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Muu kalaruoka ,text; 0 = did not reply to this question,Open question,
,Muun kalaruoan annoskoko ,text; 0 = did not reply to this question,Pop up question (open question) for those who answer the previous question,
,Muun kalaruoan käyttötiheys ,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä; 0 = did not reply to this question,Pop up question for those who answer the question before previous,
,Broileri- tai kalkkunaruoat 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Keitetty kananmuna 1 kpl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Paistettu muna tai munakas 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Appelsiini- tai greippitäysmehu 1 lasillinen,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Muut hedelmätäysmehut 1 lasillinen,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Sitrushedelmät tai kiivi 1 kpl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Omena tai päärynä 1 kpl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Banaani 1 kpl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Viinirypäleet tai tuoreet luumut 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Ananas 2 viipaletta,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Tuoreet marjat sellaisenaan (kesällä) 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Pakastetut marjat sellaisenaan (talvella) 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Muu hedelmä ,text; 0 = did not reply to this question,Open question,
,Muun hedelmän annoskoko ,text; 0 = did not reply to this question,Pop up question (open question) for those who answer the previous question,
,Muun hedelmän käyttötiheys ,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä; 0 = did not reply to this question,Pop up question for those who answer the question before previous,
,Marjakeitto tai -kiisseli 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Rahkajälkiruoka 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Maitopohjaiset kiisselit ja vanukkaat 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Ohukaiset tai pannukakku 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Jäätelö 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Muu jälkiruoka ,text; 0 = did not reply to this question,Open question,
,Muun jälkiruoan annoskoko ,text; 0 = did not reply to this question,Pop up question (open question) for those who answer the previous question,
,Muun jälkiruoan käyttötiheys ,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä; 0 = did not reply to this question,Pop up question for those who answer the question before previous,
,Suklaa 1 patukka,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Lakritsi tai salmiakki 1 dl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Muut sokerimakeiset 1 dl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Ksylitolimakeiset (esim. purukumi, pastilli) 2 tyynyä, 1 pieni aski",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
