Question category,Question as answered by guardian,Answer scale,"Reference, comments (in red) and possible conditions (in blue) in the question",,,,,,,
,What are your feelings about making decisions?,,,,,,,,,
,,Making decisions is easy for me,,,,,,,,
,,I make decisions about as well as ever,,,,,,,,
,,I try to put off making decisions,,,,,,,,
,,I have great difficulty in making decisions,,,,,,,,
,,I can’t make any decisions at all anymore,,,,,,,,
,,,,,,,,,,
,How do you feel about your appearance?,,,,,,,,,
,,I am quite happy with my appearance,,,,,,,,
,,I don’t feel that I look any worse than I used to,,,,,,,,
,,I am worried that I am looking old or unattractive,,,,,,,,
,,I feel that there are permanent changes in my appearance and they make me look unattractive,,,,,,,,
,,I feel that I am ugly or repulsive-looking,,,,,,,,
,,,,,,,,,,
,Do you have problems with sleep?,,,,,,,,,
,,I don’t have any problems with sleeping,,,,,,,,
,,I can sleep as well as usual,,,,,,,,
,,I wake up more tired in the morning than I used to,,,,,,,,
,,I suffer from sleeplessness,,,,,,,,
,,"I suffer from sleeplessness, difficulties in getting to sleep or too early awakening",,,,,,,,
,,,,,,,,,,
,Do you ever feel tired or exhausted?,,,,,,,,,
,,I almost never feel tired,,,,,,,,
,,I don’t get any more tired than usual,,,,,,,,
,,I get tired more easily than I used to,,,,,,,,
,,I get tired from doing anything,,,,,,,,
,,I get too tired to do anything,,,,,,,,
,,,,,,,,,,
,How is your appetite?,,,,,,,,,
,,My appetite is very good,,,,,,,,
,,My appetite is no worse than usual,,,,,,,,
,,My appetite is not as good as it used to be,,,,,,,,
,,My appetite is much worse now,,,,,,,,
,,I have no appetite at all anymore,,,,,,,,
,,,,,,,,,,
,Are you tense or distressed? ,,,,,,,,,
,,I have good control over my feelings and do not become tense or distressed easily,,,,,,,,
,,I do not feel tense or distressed,,,,,,,,
,,I become distressed quite easily,,,,,,,,
,,"I become anxious, tense or distressed very easily",,,,,,,,
,,I feel anxious or tense all the time as if I had lost my nerves,,,,,,,,
,,,,,,,,,,
Weight perception of self, I think I...,,"GUTS Growing Up Today Study, Harvard School of Public Health, US; Mother’s questionnaire] ",,,,,,,
and child,,am about the right weight,questions 68-79,,,,,,,
,,should gain weight,,,,,,,,
,,loose weight,,,,,,,,
,,,,,,,,,,
, I think that my child…,,,,,,,,,
,,is about the right weight,,,,,,,,
,,should gain weight,,,,,,,,
,,loose weight,,,,,,,,
,,,,,,,,,,
, How important is it to you that you be thin?,,,,,,,,,
,,Not at all,,,,,,,,
,,A little,,,,,,,,
,,Somewhat,,,,,,,,
,,Very,,,,,,,,
,,,,,,,,,,
,How important is it to you that your child be thin?,,,,,,,,,
,,Not at all,,,,,,,,
,,A little,,,,,,,,
,,Somewhat,,,,,,,,
,,Very,,,,,,,,
,,,,,,,,,,
,How important is it to you that your child not be fat?,,,,,,,,,
,How important is it to you that your child not be overweight?,Not at all,"Changed 5.8.2013, only in Finnish. In Swedish, the word ""overweight"" (överviktig) was used during the whole study",,,,,,,
,,A little,,,,,,,,
,,Somewhat,,,,,,,,
,,Very,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Eating disorder of self,"Have any of the following members of your family ever had an eating disorder, such as anorexia nervosa, bulimia nervosa or atypical eating disorder? ",,,,,,,,,
and/or family member,1 I had/have an eating disorder                    ,,,,,,,,,
,2 My child who is taking part in the Fin-HIT study has/had an eating disorder,,,,,,,,,
,3 Someone else in the family has/had an eating disorder,,,,,,,,,
,4 No one in the family has/had an eating disorder,,,,,,,,,
,,,,,,,,,,
,"Has anyone in your family ever been treated for an eating disorder by a doctor, nurse, or other health care provider?    You can choose several alternatives. ",,,,,,,,,
,1 I have been treated for an eating disorder,,,,,,,,,
,2 My child who is taking part in the Fin-HIT study has been treated for an eating disorder,,,,,,,,,
,3 Someone else in the family has been treated for an eating disorder,,,,,,,,,
,4 No one in the family has been treated for an eating disorder,,,,,,,,,
,,,,,,,,,,
Dieting,"During the past 10 years, have you ever attended a weight loss treatment program? You can choose several alternatives. ",,,,,,,,,
,1 No,,,,,,,,,
,"2 Yes, I have attended Weight Watchers®, Keventäjät or other commercial weight loss program",,,,,,,,,
,"3 Yes, I have been on a medically supervised weight loss program",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"During the past year, did you try to lose weight?",,,,,,,,,
,,No, CONDITION in f76:  if yes (2) answered then answer f77. ,,,,,,,
,,Yes,,,,,,,,
,,,,,,,,,,
,Have you used any of the following to control your weight? ,,,,,,,,,
,1 Exercised,,,,,,,,,
,2 Changed diet,,,,,,,,,
,3 Did not eat between meals,,,,,,,,,
,4 Limited portion size,,,,,,,,,
,5 Skipped meals,,,,,,,,,
,6 Smoked,,,,,,,,,
,7 Used diet pills,,,,,,,,,
,8 Used laxatives,,,,,,,,,
,9 Made myself throw-up,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Binge eating,"During the past year, how often have you eaten, in a relatively short period of time ",,Made and validated by Growing Up Today Study,,,,,,,
,"(e.g., within any 2-hour period), an amount of food that is definitely larger than most people would eat during a similar period of time?",Never,"CONDITION in f78: If answered 2-6, then question f79.",,,,,,,
,,A couple of times,,,,,,,,
,,Less than once a month,,,,,,,,
,,Monthly,,,,,,,,
,,Weekly,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"During the past year, how often have you eaten so much food in a short period of time that you would be embarrassed if others saw you?",,"Field AE, Taylor CB, Celio A, Colditz GA. Comparison of self-report to interview assessment of bulimic behaviors among preadolescent and adolescent girls and boys. Int J Eat Disord 2004 Jan;35(1):86-92. ",,,,,,,
,,Never,GUTS (Growing Up Today Study). Same question as in the child questionnaire. ,,,,,,,
,,A couple of times,"CONDITION in f78a: If answered 2-6, then question f79.",,,,,,,
,,Less than once a month,,,,,,,,
,,1-3 times a month,Question f78 was replaced with f78a in October 2012 (NOTE that the answer alternatives are different in f78 and f78a).,,,,,,,
,,Once a week,,,,,,,,
,,More often than once a week,,,,,,,,
,,,,,,,,,,
,"Did you feel out of control, like you couldn’t stop eating even if you wanted to stop?",,,,,,,,,
,,Yes,,,,,,,,
,,No,,,,,,,,
,,,,,,,,,,
Sence of Coherence,How do you feel? Select the option on a scale from 1 to 7 that best describes you.,,Sense of Coherence; Antonovsky A. Unraveling the mystery of health: how people manage stress and stay well / Aaron Antonovsky. San Francisco : Jossey-Bass; 1987. ,,,,,,,
,"1) So far, your life has been ",1,,,,,,,,
,2) How often do you feel that you don’t really care about what is happening around you?,2,,,,,,,,
,3) How often are you surprised by the behaviour of people who you thought you knew well?,3,,,,,,,,
,4) Are you ever disappointed in people who you trusted?,4,,,,,,,,
,5) How often do you feel you are being treated unfairly?,5,,,,,,,,
,6) How often do you feel that you are in a strange situation and you do not know what to do?,6,,,,,,,,
,7) Do you find that dealing with your daily tasks is,7,,,,,,,,
,8) How often are your feelings and thoughts completely mixed up?,,,,,,,,,
,9) How often do you experience unwanted feelings or emotions?,,,,,,,,,
,10) Many people – even strong-minded ones – feel that in certain situations they are getting in other people’s way. How often have you felt like this?,,,,,,,,,
,"11) When something happens, do you normally think afterwards that",,,,,,,,,
,12) How often do you feel that your daily tasks are fairly meaningless?,,,,,,,,,
,13) How often do you have feelings that you feel you may not be able to control?,,,,,,,,,
,,,,,,,,,,
,Do you have a partner that lives in the same household as your child?,,,,,,,,,
,,yes,,,,,,,,
,,no,,,,,,,,
,,,,,,,,,,
Screen time,"How many hours a day do you normally watch TV, videos or DVDs? By TV, we mean programmes that can be watched on TV as well as on a computer. ",,Same question as in the child questionnaire.,,,,,,,
,1 On weekdays,"I do not watch TV, videos or DVDs","LifeGene, a Swedish study, WHO HBSC (Health Behaviour in School-aged Children) study; small modifications in the wording. Same answer alternatives as in the WHO Study",,,,,,,
,2 Weekends or holidays,Around half an hour a day,,,,,,,,
,,Around an hour a day,,,,,,,,
,,Around two hours a day,,,,,,,,
,,Around three hours a day,,,,,,,,
,,Around four hours a day,,,,,,,,
,,Around five hours a day,,,,,,,,
,,Around six hours a day,,,,,,,,
,,Around seven hours a day or more,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"How many hours a day do you normally use a computer, e.g. spend time on the Internet, chat or play computer games outside of working hours? ",,"Same question as in the child questionnaire, but TV games excluded, “outside of working hours” added. ",,,,,,,
,1 On weekdays,I do not use a computer,"Based on LifeGene, a Swedish study; small modifications in the wording. Same answer alternatives as in the WHO HBSC (Health Behaviour in School-aged Children) study.",,,,,,,
,2 Weekends or holidays,Around half an hour a day,,,,,,,,
,,Around an hour a day,,,,,,,,
,,Around two hours a day,,,,,,,,
,,Around three hours a day,,,,,,,,
,,Around four hours a day,,,,,,,,
,,Around five hours a day,,,,,,,,
,,Around six hours a day,,,,,,,,
,,Around seven hours a day or more,,,,,,,,
,,,,,,,,,,
Partner's screen time,"How many hours a day does your partner normally watch TV, videos or DVDs? By TV, we mean programmes that can be watched on TV as well as on a computer. ",,,,,,,,,
,1 On weekdays,"My partner does not watch TV, videos or DVDs",,,,,,,,
,2 Weekends or holidays,Around half an hour a day,,,,,,,,
,,Around an hour a day,,,,,,,,
,,Around two hours a day,,,,,,,,
,,Around three hours a day,,,,,,,,
,,Around four hours a day,,,,,,,,
,,Around five hours a day,,,,,,,,
,,Around six hours a day,,,,,,,,
,,Around seven hours a day or more,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"How many hours a day does your partner normally use a computer, e.g. spends time on the Internet, chats or plays computer games outside of working hours? ",,,,,,,,,
,1 On weekdays,My partner does not use a computer,,,,,,,,
,2 Weekends or holidays,Around half an hour a day,,,,,,,,
,,Around an hour a day,,,,,,,,
,,Around two hours a day,,,,,,,,
,,Around three hours a day,,,,,,,,
,,Around four hours a day,,,,,,,,
,,Around five hours a day,,,,,,,,
,,Around six hours a day,,,,,,,,
,,Around seven hours a day or more,,,,,,,,
,,,,,,,,,,
Magazines read in the family       ,What kind of weekly magazines do you normally read in your family?,,"Own question, but ideas from GUTS Growing Up Today Study, Harvard School of Public Health",,,,,,,
,1 Music,The adults in the family read,,,,,,,,
,2 Fashion,The child taking part in the Fin-HIT study reads,,,,,,,,
,3 Men’s,Other children in the family read,,,,,,,,
,4 Sports,,,,,,,,,
,5 Cars,,,,,,,,,
,6 Celebrities,,,,,,,,,
,7 News,,,,,,,,,
,8 Youth,,,,,,,,,
,9 Health,,,,,,,,,
,10 TV / film ,,,,,,,,,
,11 Women’s ,,,,,,,,,
,12 Science ,,,,,,,,,
,13 Computers / games,,,,,,,,,
,14 Comics,,,,,,,,,
,15 Animal,,,,,,,,,
,16 Hobbies,,,,,,,,,
,17 News magazine,,,,,,,,,
,18 Another type of magazine,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
